"","Cumulative Intrazonal Interaction"
"Alloc",55
"Alloc1",55
"Alloc2",55
"Alloc3",55
"Alloc4",55
"Alloc5",55
"Alloc6",55
"Alloc7",55
"Alloc8",55
"Alloc9",55
"Alloc10",56
"Alloc11",56
"Alloc12",56
"Alloc13",56
"Alloc14",56
"Alloc15",57
"Alloc16",57
"Alloc17",58
"Alloc18",58
"Alloc19",58
"Alloc20",59
"Alloc21",59
"Alloc22",59
"Alloc23",60
"Alloc24",61
"Alloc25",62
"Alloc26",63
"Alloc27",64
"Alloc28",65
"Alloc29",65
"Alloc30",66
"Alloc31",66
"Alloc32",66
"Alloc33",67
"Alloc34",68
"Alloc35",69
"Alloc36",71
"Alloc37",72
"Alloc38",73
"Alloc39",74
"Alloc40",75
"Alloc41",77
"Alloc42",79
"Alloc43",81
"Alloc44",82
"Alloc45",84
"Alloc46",87
"Alloc47",92
"Alloc48",95
"Alloc49",100
